"palabra","tipo","categoría","diccionario"
"cretina","palabra","ofensa-violencia","ofensivos-violencia"
"cretinas","palabra","ofensa-violencia","ofensivos-violencia"
"cretinos","palabra","ofensa-violencia","ofensivos-violencia"
"cretino","palabra","ofensa-violencia","ofensivos-violencia"
"culeada","palabra","ofensa-violencia","ofensivos-violencia"
"culear","palabra","ofensa-violencia","ofensivos-violencia"
"culeada","palabra","ofensa-violencia","ofensivos-violencia"
"culeado","palabra","ofensa-violencia","ofensivos-violencia"
"culera","palabra","ofensa-violencia","ofensivos-violencia"
"culeras","palabra","ofensa-violencia","ofensivos-violencia"
"culero","palabra","ofensa-violencia","ofensivos-violencia"
"culeros","palabra","ofensa-violencia","ofensivos-violencia"
"culon@","palabra","ofensa-violencia","ofensivos-violencia"
"culona","palabra","ofensa-violencia","ofensivos-violencia"
"delicadita","palabra","ofensa-violencia","ofensivos-violencia"
"desgraciada","palabra","ofensa-violencia","ofensivos-violencia"
"desgraciadas","palabra","ofensa-violencia","ofensivos-violencia"
"desgraciado","palabra","ofensa-violencia","ofensivos-violencia"
"desgraciados","palabra","ofensa-violencia","ofensivos-violencia"
"desquiciadas","palabra","ofensa-violencia","ofensivos-violencia"
"donnadie","palabra","ofensa-violencia","ofensivos-violencia"
"donnadies","palabra","ofensa-violencia","ofensivos-violencia"
"embustera","palabra","ofensa-violencia","ofensivos-violencia"
"embustero","palabra","ofensa-violencia","ofensivos-violencia"
"emputado","palabra","ofensa-violencia","ofensivos-violencia"
"emputados","palabra","ofensa-violencia","ofensivos-violencia"
"emputada","palabra","ofensa-violencia","ofensivos-violencia"
"emputadas","palabra","ofensa-violencia","ofensivos-violencia"
"encabronada","palabra","ofensa-violencia","ofensivos-violencia"
"encabronadas","palabra","ofensa-violencia","ofensivos-violencia"
"encabronado","palabra","ofensa-violencia","ofensivos-violencia"
"encabronados","palabra","ofensa-violencia","ofensivos-violencia"
"encabronar","palabra","ofensa-violencia","ofensivos-violencia"
"enmierdar","palabra","ofensa-violencia","ofensivos-violencia"
"estupid4","palabra","ofensa-violencia","ofensivos-violencia"
"estupid@","palabra","ofensa-violencia","ofensivos-violencia"
"estupida","palabra","ofensa-violencia","ofensivos-violencia"
"estupidas","palabra","ofensa-violencia","ofensivos-violencia"
"estupido","palabra","ofensa-violencia","ofensivos-violencia"
"estupid0","palabra","ofensa-violencia","ofensivos-violencia"
"estupidos","palabra","ofensa-violencia","ofensivos-violencia"
"fantoche","palabra","ofensa-violencia","ofensivos-violencia"
"fantoches","palabra","ofensa-violencia","ofensivos-violencia"
"fodongo","palabra","ofensa-violencia","ofensivos-violencia"
"fodonga","palabra","ofensa-violencia","ofensivos-violencia"
"golfa","palabra","ofensa-violencia","ofensivos-violencia"
"gorron","palabra","ofensa-violencia","ofensivos-violencia"
"gorrones","palabra","ofensa-violencia","ofensivos-violencia"
"gorrona","palabra","ofensa-violencia","ofensivos-violencia"
"gorronas","palabra","ofensa-violencia","ofensivos-violencia"
"goto","palabra","ofensa-violencia","ofensivos-violencia"
"gotos","palabra","ofensa-violencia","ofensivos-violencia"
"guangas","palabra","ofensa-violencia","ofensivos-violencia"
"guarr@s","palabra","ofensa-violencia","ofensivos-violencia"
"guarr4s","palabra","ofensa-violencia","ofensivos-violencia"
"guarras","palabra","ofensa-violencia","ofensivos-violencia"
"guarr@","palabra","ofensa-violencia","ofensivos-violencia"
"guarr4","palabra","ofensa-violencia","ofensivos-violencia"
"guarra","palabra","ofensa-violencia","ofensivos-violencia"
"guarras","palabra","ofensa-violencia","ofensivos-violencia"
"guarro","palabra","ofensa-violencia","ofensivos-violencia"
"guarros","palabra","ofensa-violencia","ofensivos-violencia"
"guey","palabra","ofensa-violencia","ofensivos-violencia"
"huevon","palabra","ofensa-violencia","ofensivos-violencia"
"huevona","palabra","ofensa-violencia","ofensivos-violencia"
"huevones","palabra","ofensa-violencia","ofensivos-violencia"
"huila","palabra","ofensa-violencia","ofensivos-violencia"
"idiota","palabra","ofensa-violencia","ofensivos-violencia"
"idiotas","palabra","ofensa-violencia","ofensivos-violencia"
"imb3ciles","palabra","ofensa-violencia","ofensivos-violencia"
"imb3cil","palabra","ofensa-violencia","ofensivos-violencia"
"imbecil","palabra","ofensa-violencia","ofensivos-violencia"
"imbeciles","palabra","ofensa-violencia","ofensivos-violencia"
"joder","palabra","ofensa-violencia","ofensivos-violencia"
"joderme","palabra","ofensa-violencia","ofensivos-violencia"
"jodernos","palabra","ofensa-violencia","ofensivos-violencia"
"jodete","palabra","ofensa-violencia","ofensivos-violencia"
"jodido","palabra","ofensa-violencia","ofensivos-violencia"
"jodida","palabra","ofensa-violencia","ofensivos-violencia"
"lagarta","palabra","ofensa-violencia","ofensivos-violencia"
"lame huevos","frase","ofensa-violencia","ofensivos-violencia"
"lameculos","palabra","ofensa-violencia","ofensivos-violencia"
"lamehuevos","palabra","ofensa-violencia","ofensivos-violencia"
"lela","palabra","ofensa-violencia","ofensivos-violencia"
"lelo","palabra","ofensa-violencia","ofensivos-violencia"
"lench@s","palabra","ofensa-violencia","ofensivos-violencia"
"lench4s","palabra","ofensa-violencia","ofensivos-violencia"
"lench4","palabra","ofensa-violencia","ofensivos-violencia"
"putona","palabra","ofensa-violencia","ofensivos-violencia"
"puton@","palabra","ofensa-violencia","ofensivos-violencia"
"malc0gid@s","frase","ofensa-violencia","ofensivos-violencia"
"malc0gid@","frase","ofensa-violencia","ofensivos-violencia"
"malc0gidas","frase","ofensa-violencia","ofensivos-violencia"
"malc0gida","frase","ofensa-violencia","ofensivos-violencia"
"malcogidas","frase","ofensa-violencia","ofensivos-violencia"
"malcogida","frase","ofensa-violencia","ofensivos-violencia"
"mal cogidas","frase","ofensa-violencia","ofensivos-violencia"
"mal cogida","frase","ofensa-violencia","ofensivos-violencia"
"mal parido","frase","ofensa-violencia","ofensivos-violencia"
"malparida","palabra","ofensa-violencia","ofensivos-violencia"
"mamarracha","palabra","ofensa-violencia","ofensivos-violencia"
"meco","palabra","ofensa-violencia","ofensivos-violencia"
"mecos","palabra","ofensa-violencia","ofensivos-violencia"
"menso","palabra","ofensa-violencia","ofensivos-violencia"
"mensos","palabra","ofensa-violencia","ofensivos-violencia"
"mensa","palabra","ofensa-violencia","ofensivos-violencia"
"mensas","palabra","ofensa-violencia","ofensivos-violencia"
"meretriz","palabra","ofensa-violencia","ofensivos-violencia"
"mitotera","palabra","ofensa-violencia","ofensivos-violencia"
"ojete","palabra","ofensa-violencia","ofensivos-violencia"
"orcas","palabra","ofensa-violencia","ofensivos-violencia"
"orto","palabra","ofensa-violencia","ofensivos-violencia"
"papanatas","palabra","ofensa-violencia","ofensivos-violencia"
"parasita","palabra","ofensa-violencia","ofensivos-violencia"
"patan","palabra","ofensa-violencia","ofensivos-violencia"
"pelele","palabra","ofensa-violencia","ofensivos-violencia"
"pendeje","palabra","ofensa-violencia","ofensivos-violencia"
"pendejete","palabra","ofensa-violencia","ofensivos-violencia"
"pendeja","palabra","ofensa-violencia","ofensivos-violencia"
"pendejo","palabra","ofensa-violencia","ofensivos-violencia"
"pene","palabra","ofensa-violencia","ofensivos-violencia"
"pen3","palabra","ofensa-violencia","ofensivos-violencia"
"perras","palabra","ofensa-violencia","ofensivos-violencia"
"perra","palabra","ofensa-violencia","ofensivos-violencia"
"perrita","palabra","ofensa-violencia","ofensivos-violencia"
"perrit4s","palabra","ofensa-violencia","ofensivos-violencia"
"perr4s","palabra","ofensa-violencia","ofensivos-violencia"
"perr4","palabra","ofensa-violencia","ofensivos-violencia"
"puerca","palabra","ofensa-violencia","ofensivos-violencia"
"puercas","palabra","ofensa-violencia","ofensivos-violencia"
"puerco","palabra","ofensa-violencia","ofensivos-violencia"
"puercos","palabra","ofensa-violencia","ofensivos-violencia"
"puñetas","palabra","ofensa-violencia","ofensivos-violencia"
"puñetero","palabra","ofensa-violencia","ofensivos-violencia"
"puteria","palabra","ofensa-violencia","ofensivos-violencia"
"puterias","palabra","ofensa-violencia","ofensivos-violencia"
"puterio","palabra","ofensa-violencia","ofensivos-violencia"
"putit@s","palabra","ofensa-violencia","ofensivos-violencia"
"putit4s","palabra","ofensa-violencia","ofensivos-violencia"
"putit4","palabra","ofensa-violencia","ofensivos-violencia"
"putitas","palabra","ofensa-violencia","ofensivos-violencia"
"putita","palabra","ofensa-violencia","ofensivos-violencia"
"putilla","palabra","ofensa-violencia","ofensivos-violencia"
"ramera","palabra","ofensa-violencia","ofensivos-violencia"
"rameras","palabra","ofensa-violencia","ofensivos-violencia"
"rastrero","palabra","ofensa-violencia","ofensivos-violencia"
"rata","palabra","ofensa-violencia","ofensivos-violencia"
"rechingada","palabra","ofensa-violencia","ofensivos-violencia"
"sabandija","palabra","ofensa-violencia","ofensivos-violencia"
"sanguijuela","palabra","ofensa-violencia","ofensivos-violencia"
"sonso","palabra","ofensa-violencia","ofensivos-violencia"
"su pinche madre","frase","ofensa-violencia","ofensivos-violencia"
"suripanta","palabra","ofensa-violencia","ofensivos-violencia"
"suripantas","palabra","ofensa-violencia","ofensivos-violencia"
"tarada","palabra","ofensa-violencia","ofensivos-violencia"
"taradas","palabra","ofensa-violencia","ofensivos-violencia"
"tarado","palabra","ofensa-violencia","ofensivos-violencia"
"tarados","palabra","ofensa-violencia","ofensivos-violencia"
"taruga","palabra","ofensa-violencia","ofensivos-violencia"
"tarugo","palabra","ofensa-violencia","ofensivos-violencia"
"teatrera","palabra","ofensa-violencia","ofensivos-violencia"
"teibolera","palabra","ofensa-violencia","ofensivos-violencia"
"teibolero","palabra","ofensa-violencia","ofensivos-violencia"
"tipeja","palabra","ofensa-violencia","ofensivos-violencia"
"tipejitas","palabra","ofensa-violencia","ofensivos-violencia"
"tipejas","palabra","ofensa-violencia","ofensivos-violencia"
"trepadora","palabra","ofensa-violencia","ofensivos-violencia"
"vibora","palabra","ofensa-violencia","ofensivos-violencia"
"vulgarzona","palabra","ofensa-violencia","ofensivos-violencia"
"zopenco","palabra","ofensa-violencia","ofensivos-violencia"
"zopete","palabra","ofensa-violencia","ofensivos-violencia"
"alv","palabra","ofensa-violencia","ofensivos-violencia"
"ctm","palabra","ofensa-violencia","ofensivos-violencia"
"chsm","palabra","ofensa-violencia","ofensivos-violencia"
"p3ndej0","palabra","ofensa-violencia","ofensivos-violencia"
"p3ndejo","palabra","ofensa-violencia","ofensivos-violencia"
"p3ndej4","palabra","ofensa-violencia","ofensivos-violencia"
"p3nd3j0","palabra","ofensa-violencia","ofensivos-violencia"
"p3nd3ja","palabra","ofensa-violencia","ofensivos-violencia"
"arpía","palabra","ofensa-violencia","ofensivos-violencia"
"bocona","palabra","ofensa-violencia","ofensivos-violencia"
"hdp","palabra","ofensa-violencia","ofensivos-violencia"
"hdtpm","palabra","ofensa-violencia","ofensivos-violencia"
"hocicon","palabra","ofensa-violencia","ofensivos-violencia"
"hocicona","palabra","ofensa-violencia","ofensivos-violencia"
"put4s","palabra","ofensa-violencia","ofensivos-violencia"
"put4","palabra","ofensa-violencia","ofensivos-violencia"
"puta","palabra","ofensa-violencia","ofensivos-violencia"
"chilletas","palabra","ofensa-violencia","ofensivos-violencia"
"chillete","palabra","ofensa-violencia","ofensivos-violencia"
"lambiscón","palabra","ofensa-violencia","ofensivos-violencia"
"orate","palabra","ofensa-violencia","ofensivos-violencia"
"menso","palabra","ofensa-violencia","ofensivos-violencia"
"escoria","palabra","ofensa-violencia","ofensivos-violencia"
"mandilón","palabra","ofensa-violencia","ofensivos-violencia"
"bobalicón","palabra","ofensa-violencia","ofensivos-violencia"
"cricoso","palabra","ofensa-violencia","ofensivos-violencia"
"cricosa","palabra","ofensa-violencia","ofensivos-violencia"
"cricosas","palabra","ofensa-violencia","ofensivos-violencia"
"cricosos","palabra","ofensa-violencia","ofensivos-violencia"
"bufon","palabra","ofensa-violencia","ofensivos-violencia"
"g4t4","palabra","ofensa-violencia","ofensivos-violencia"
"porqueria","palabra","ofensa-violencia","ofensivos-violencia"
"chaspm","palabra","ofensa-violencia","ofensivos-violencia"
"p3ndejas","palabra","ofensa-violencia","ofensivos-violencia"
"p3ndeja","palabra","ofensa-violencia","ofensivos-violencia"
"p3ndejos","palabra","ofensa-violencia","ofensivos-violencia"
"p3ndejo","palabra","ofensa-violencia","ofensivos-violencia"
"pendej@","palabra","ofensa-violencia","ofensivos-violencia"
"m13rd4","palabra","ofensa-violencia","ofensivos-violencia"
"mi3rda","palabra","ofensa-violencia","ofensivos-violencia"
"mojigata","palabra","ofensa-violencia","ofensivos-violencia"
"mojigato","palabra","ofensa-violencia","ofensivos-violencia"
"hdspm","palabra","ofensa-violencia","ofensivos-violencia"
"hsdm","palabra","ofensa-violencia","ofensivos-violencia"
"hsdchm","palabra","ofensa-violencia","ofensivos-violencia"
"pndejos","palabra","ofensa-violencia","ofensivos-violencia"
"endejos","palabra","ofensa-violencia","ofensivos-violencia"
"botijona","palabra","ofensa-violencia","ofensivos-violencia"
"botijon","palabra","ofensa-violencia","ofensivos-violencia"
"botijones","palabra","ofensa-violencia","ofensivos-violencia"
"mamaditas","palabra","ofensa-violencia","ofensivos-violencia"
"ogts","palabra","ofensa-violencia","ofensivos-violencia"
"ogts","palabra","ofensa-violencia","ofensivos-violencia"
"ladino","palabra","ofensa-violencia","ofensivos-violencia"
"ladinos","palabra","ofensa-violencia","ofensivos-violencia"
"culata","palabra","ofensa-violencia","ofensivos-violencia"
"mitotero","palabra","ofensa-violencia","ofensivos-violencia"
"mlp","palabra","ofensa-violencia","ofensivos-violencia"
"tpm","palabra","ofensa-violencia","ofensivos-violencia"
"mvv","palabra","ofensa-violencia","ofensivos-violencia"
"nmms","palabra","ofensa-violencia","ofensivos-violencia"
"qtc","palabra","ofensa-violencia","ofensivos-violencia"
"chtptm","palabra","ofensa-violencia","ofensivos-violencia"
"chsatpm","palabra","ofensa-violencia","ofensivos-violencia"
"chasrptm","palabra","ofensa-violencia","ofensivos-violencia"
"pinchis","palabra","ofensa-violencia","ofensivos-violencia"
"pinchi","palabra","ofensa-violencia","ofensivos-violencia"
"pinche","palabra","ofensa-violencia","ofensivos-violencia"
"pinches","palabra","ofensa-violencia","ofensivos-violencia"
"perrillas","palabra","ofensa-violencia","ofensivos-violencia"
"perill@","palabra","ofensa-violencia","ofensivos-violencia"
"perrilla","palabra","ofensa-violencia","ofensivos-violencia"
"4t","palabra","sesgo-ideologico","candidaturas-partidos-ideologia-religion"
"4ta","palabra","sesgo-ideologico","candidaturas-partidos-ideologia-religion"
"amlovers","palabra","sesgo-ideologico","candidaturas-partidos-ideologia-religion"
"antiobradorista","palabra","sesgo-ideologico","candidaturas-partidos-ideologia-religion"
"arquidiocesis","palabra","sesgo-religioso","candidaturas-partidos-ideologia-religion"
"biblia","palabra","sesgo-religioso","candidaturas-partidos-ideologia-religion"
"blasfemas","palabra","sesgo-religioso","candidaturas-partidos-ideologia-religion"
"blasfema","palabra","sesgo-religioso","candidaturas-partidos-ideologia-religion"
"blasfemos","palabra","sesgo-religioso","candidaturas-partidos-ideologia-religion"
"blasfemo","palabra","sesgo-religioso","candidaturas-partidos-ideologia-religion"
"blasfemia","palabra","sesgo-religioso","candidaturas-partidos-ideologia-religion"
"botargabruta","palabra","hashtag-propaganda","candidaturas-partidos-ideologia-religion"
"brutarga","palabra","hashtag-propaganda","candidaturas-partidos-ideologia-religion"
"chayote","palabra","sesgo-ideologico","candidaturas-partidos-ideologia-religion"
"chochil","palabra","candidatura","candidaturas-partidos-ideologia-religion"
"claudia","palabra","candidatura","candidaturas-partidos-ideologia-religion"
"claudiaarrasa","palabra","hashtag-propaganda","candidaturas-partidos-ideologia-religion"
"claudiapresidenta","palabra","hashtag-propaganda","candidaturas-partidos-ideologia-religion"
"claudiapresidenta2024","palabra","hashtag-propaganda","candidaturas-partidos-ideologia-religion"
"cochitl","palabra","candidatura","candidaturas-partidos-ideologia-religion"
"cuarta transformacion","frase","hashtag-propaganda","candidaturas-partidos-ideologia-religion"
"4ta transformacion","frase","hashtag-propaganda","candidaturas-partidos-ideologia-religion"
"derechosa","palabra","sesgo-ideologico","candidaturas-partidos-ideologia-religion"
"derechoso","palabra","sesgo-ideologico","candidaturas-partidos-ideologia-religion"
"en manos de dios","frase","sesgo-religioso","candidaturas-partidos-ideologia-religion"
"dios quiera","frase","sesgo-religioso","candidaturas-partidos-ideologia-religion"
"gracias a dios","frase","sesgo-religioso","candidaturas-partidos-ideologia-religion"
"esclaudia","palabra","hashtag-propaganda","candidaturas-partidos-ideologia-religion"
"evangelio","palabra","sesgo-religioso","candidaturas-partidos-ideologia-religion"
"fachillo","palabra","sesgo-ideologico","candidaturas-partidos-ideologia-religion"
"fachistas","palabra","sesgo-ideologico","candidaturas-partidos-ideologia-religion"
"fosfofosfo","palabra","hashtag-propaganda","candidaturas-partidos-ideologia-religion"
"fracaxochitl","palabra","hashtag-propaganda","candidaturas-partidos-ideologia-religion"
"fuerza y corazon por mexico","frase","hashtag-propaganda","candidaturas-partidos-ideologia-religion"
"golpeadoras","palabra","sesgo-ideologico","candidaturas-partidos-ideologia-religion"
"golpeadores","palabra","sesgo-ideologico","candidaturas-partidos-ideologia-religion"
"golpistas","palabra","sesgo-ideologico","candidaturas-partidos-ideologia-religion"
"hereje","palabra","sesgo-religioso","candidaturas-partidos-ideologia-religion"
"herejia","palabra","sesgo-religioso","candidaturas-partidos-ideologia-religion"
"izquierdosa","palabra","sesgo-ideologico","candidaturas-partidos-ideologia-religion"
"izquierdoso","palabra","sesgo-ideologico","candidaturas-partidos-ideologia-religion"
"jaliscovaprimero","palabra","hashtag-propaganda","candidaturas-partidos-ideologia-religion"
"jesucristo","palabra","sesgo-religioso","candidaturas-partidos-ideologia-religion"
"alvarez maynez","frase","candidatura","candidaturas-partidos-ideologia-religion"
"jorge alvarez maynez","frase","candidatura","candidaturas-partidos-ideologia-religion"
"judas","palabra","sesgo-religioso","candidaturas-partidos-ideologia-religion"
"kks","palabra","hashtag-propaganda","candidaturas-partidos-ideologia-religion"
"marco cortes","frase","partido","candidaturas-partidos-ideologia-religion"
"marko cortes","frase","partido","candidaturas-partidos-ideologia-religion"
"alito","frase","partido","candidaturas-partidos-ideologia-religion"
"alejandro moreno","frase","partido","candidaturas-partidos-ideologia-religion"
"karen castrejón","frase","partido","candidaturas-partidos-ideologia-religion"
"dante delgado","frase","partido","candidaturas-partidos-ideologia-religion"
"jesus zambrano","frase","partido","candidaturas-partidos-ideologia-religion"
"alberto anaya","frase","partido","candidaturas-partidos-ideologia-religion"
"mario delgado","frase","partido","candidaturas-partidos-ideologia-religion"
"maynez","palabra","candidatura","candidaturas-partidos-ideologia-religion"
"mc","palabra","partido","candidaturas-partidos-ideologia-religion"
"mcsista","palabra","partido","candidaturas-partidos-ideologia-religion"
"mcista","palabra","partido","candidaturas-partidos-ideologia-religion"
"ptista","palabra","partido","candidaturas-partidos-ideologia-religion"
"pteista","palabra","partido","candidaturas-partidos-ideologia-religion"
"prdista","palabra","partido","candidaturas-partidos-ideologia-religion"
"perredista","palabra","partido","candidaturas-partidos-ideologia-religion"
"morenarcos","palabra","hashtag-propaganda","candidaturas-partidos-ideologia-religion"
"morenayaseva","palabra","hashtag-propaganda","candidaturas-partidos-ideologia-religion"
"morenista","palabra","partido","candidaturas-partidos-ideologia-religion"
"movimiento ciudadano","frase","partido","candidaturas-partidos-ideologia-religion"
"movimiento de regeneración nacional","frase","partido","candidaturas-partidos-ideologia-religion"
"movimientonaranja","palabra","hashtag-propaganda","candidaturas-partidos-ideologia-religion"
"mxconxochitl","palabra","hashtag-propaganda","candidaturas-partidos-ideologia-religion"
"mxsinmiedo","palabra","hashtag-propaganda","candidaturas-partidos-ideologia-religion"
"narcocandidata","palabra","hashtag-propaganda","candidaturas-partidos-ideologia-religion"
"narcocandidataclaudia","palabra","hashtag-propaganda","candidaturas-partidos-ideologia-religion"
"narcodictador","palabra","hashtag-propaganda","candidaturas-partidos-ideologia-religion"
"narcodictador","palabra","hashtag-propaganda","candidaturas-partidos-ideologia-religion"
"narcopresidente","palabra","hashtag-propaganda","candidaturas-partidos-ideologia-religion"
"narcopresidenteamlo","palabra","hashtag-propaganda","candidaturas-partidos-ideologia-religion"
"narcopresidenteamlo14","palabra","hashtag-propaganda","candidaturas-partidos-ideologia-religion"
"oposicionmiserableymezquina","palabra","hashtag-propaganda","candidaturas-partidos-ideologia-religion"
"pan","fragmento","partido","candidaturas-partidos-ideologia-religion"
"pandejos","palabra","hashtag-propaganda","candidaturas-partidos-ideologia-religion"
"partido accion nacional","frase","partido","candidaturas-partidos-ideologia-religion"
"partido de la revolución democrática","frase","partido","candidaturas-partidos-ideologia-religion"
"partido del trabajo","frase","partido","candidaturas-partidos-ideologia-religion"
"partido revolucionario institucional","frase","partido","candidaturas-partidos-ideologia-religion"
"partido verde","frase","partido","candidaturas-partidos-ideologia-religion"
"pecado","palabra","sesgo-religioso","candidaturas-partidos-ideologia-religion"
"pecador","fragmento","sesgo-religioso","candidaturas-partidos-ideologia-religion"
"pecaminoso","palabra","sesgo-religioso","candidaturas-partidos-ideologia-religion"
"porros","palabra","sesgo-ideologico","candidaturas-partidos-ideologia-religion"
"porro","palabra","sesgo-ideologico","candidaturas-partidos-ideologia-religion"
"prd","palabra","partido","candidaturas-partidos-ideologia-religion"
"presidentemaynez","palabra","hashtag-propaganda","candidaturas-partidos-ideologia-religion"
"pri","palabra","partido","candidaturas-partidos-ideologia-religion"
"prian","palabra","hashtag-propaganda","candidaturas-partidos-ideologia-religion"
"prianista","palabra","hashtag-propaganda","candidaturas-partidos-ideologia-religion"
"prianistas","palabra","hashtag-propaganda","candidaturas-partidos-ideologia-religion"
"prostidiputadas","palabra","hashtag-propaganda","candidaturas-partidos-ideologia-religion"
"pt","palabra","partido","candidaturas-partidos-ideologia-religion"
"pvem","palabra","partido","candidaturas-partidos-ideologia-religion"
"redamlo","palabra","hashtag-propaganda","candidaturas-partidos-ideologia-religion"
"santificado","palabra","sesgo-religioso","candidaturas-partidos-ideologia-religion"
"satanicas","palabra","sesgo-religioso","candidaturas-partidos-ideologia-religion"
"satanicos","palabra","sesgo-religioso","candidaturas-partidos-ideologia-religion"
"satanica","palabra","sesgo-religioso","candidaturas-partidos-ideologia-religion"
"satanico","palabra","sesgo-religioso","candidaturas-partidos-ideologia-religion"
"cheinbaum","palabra","candidatura","candidaturas-partidos-ideologia-religion"
"sheinaum","palabra","candidatura","candidaturas-partidos-ideologia-religion"
"sheinbom","palabra","candidatura","candidaturas-partidos-ideologia-religion"
"shenbaum","palabra","candidatura","candidaturas-partidos-ideologia-religion"
"shitbaum","palabra","hashtag-propaganda","candidaturas-partidos-ideologia-religion"
"sigamoshaciendohistoria","palabra","hashtag-propaganda","candidaturas-partidos-ideologia-religion"
"sochil","palabra","candidatura","candidaturas-partidos-ideologia-religion"
"versículo","palabra","sesgo-religioso","candidaturas-partidos-ideologia-religion"
"votapan","palabra","hashtag-propaganda","candidaturas-partidos-ideologia-religion"
"xochi","palabra","candidatura","candidaturas-partidos-ideologia-religion"
"xochibots","palabra","hashtag-propaganda","candidaturas-partidos-ideologia-religion"
"xochilbots","palabra","hashtag-propaganda","candidaturas-partidos-ideologia-religion"
"xochitl","palabra","candidatura","candidaturas-partidos-ideologia-religion"
"xochitl galvez","frase","candidatura","candidaturas-partidos-ideologia-religion"
"xochitlgalvezpresidenta2024","palabra","hashtag-propaganda","candidaturas-partidos-ideologia-religion"
"xochitlnarcosatanica","palabra","hashtag-propaganda","candidaturas-partidos-ideologia-religion"
"xochitlvendepatrias","palabra","hashtag-propaganda","candidaturas-partidos-ideologia-religion"
"xochibus","palabra","hashtag-propaganda","candidaturas-partidos-ideologia-religion"
"xochitl2024","palabra","hashtag-propaganda","candidaturas-partidos-ideologia-religion"
"lonuevovaenserio","frase","hashtag-propaganda","candidaturas-partidos-ideologia-religion"
"candigata","palabra","sesgo-ideologico","candidaturas-partidos-ideologia-religion"
"cogupta","palabra","hashtag-propaganda","candidaturas-partidos-ideologia-religion"
"mugrena","palabra","hashtag-propaganda","candidaturas-partidos-ideologia-religion"
"morenazi","palabra","hashtag-propaganda","candidaturas-partidos-ideologia-religion"
"peje","palabra","partido","candidaturas-partidos-ideologia-religion"
"xochitlfarsante","palabra","hashtag-propaganda","candidaturas-partidos-ideologia-religion"
"sheinbots","palabra","hashtag-propaganda","candidaturas-partidos-ideologia-religion"
"zoochit","palabra","hashtag-propaganda","candidaturas-partidos-ideologia-religion"
"xochilmacacos","frase","hashtag-propaganda","candidaturas-partidos-ideologia-religion"
"mesias","palabra","sesgo-religioso","candidaturas-partidos-ideologia-religion"
"satan","palabra","sesgo-religioso","candidaturas-partidos-ideologia-religion"
"XochitlGalvezPresidenta","frase","hashtag-propaganda","candidaturas-partidos-ideologia-religion"
